course_link,canale,date_year,year,language,course_id,course_name,semester,professors,faculty
/cattedreonline/corso/M516/B/19MLMBASE/2024,B,2024,1,Inglese,M516,"Research Project Design",Primo Semestre,"Francesco Cappa","Management"
/cattedreonline/corso/M258/0/LM19KMG/2024,0,2024,2,Inglese,M258,"Retail And Service Experience Marketing",Primo Semestre,"Deniz Lefkeli","Marketing"
/cattedreonline/corso/M166/0/LM19KMR/2024,0,2024,2,Italiano,M166,"Retail And Service Experience Marketing",Primo Semestre,"Antonella Buonomo / Alba D'aniello","Marketing"
/cattedreonline/corso/M133/0/LM19AAE/2024,0,2024,2,Italiano,M133,"Revisione Aziendale, Tecnica E Deontologia Professionale",Primo Semestre,"Alessandro Mechelli","Amministrazione, finanza e controllo"
/cattedreonline/corso/AL7/0/1EEL2BASE/2024,0,2024,3,Italiano,AL7,"Revisione, Deontologia E Tecnica Professionale",II Semestre,"Alessandro Mechelli","Economia e management"
/cattedreonline/corso/EM59/0/LM19ABASE/2024,0,2024,2,Italiano,EM59,"Risk E Compliance Management",Primo Semestre,"Massimo Ferrari / Sante Ricci","Amministrazione, finanza e controllo"
/cattedreonline/corso/SHS/0/LM19WBASE/2024,0,2024,2,Inglese,SHS,"Risk Management",Primo Semestre,"Daniele Penza","Corporate finance"
/cattedreonline/corso/M174/0/19FLMF1/2024,0,2024,2,Inglese,M174,"Risk Management And Compliance",Primo Semestre,"Giancarlo Mazzoni","Economia e finanza"
/cattedreonline/corso/SMDEF00001/0/LM19ABASE/2024,0,2024,1,Italiano,SMDEF00001,"Rotman Trading Lab",Primo Semestre,"Emilio Barone","Amministrazione, finanza e controllo"
/cattedreonline/corso/SMDEF00001/0/LMDSMBASE/2024,0,2024,1,Italiano,SMDEF00001,"Rotman Trading Lab",Primo Semestre,"Emilio Barone","Data science and management"
/cattedreonline/corso/SMDEF00001/0/LM19KBASE/2024,0,2024,1,Italiano,SMDEF00001,"Rotman Trading Lab",Primo Semestre,"Emilio Barone","Marketing"
/cattedreonline/corso/SMDEF00001/0/LM19WBASE/2024,0,2024,1,Italiano,SMDEF00001,"Rotman Trading Lab",Primo Semestre,"Emilio Barone","Corporate finance"
/cattedreonline/corso/SMDEF00001/0/19FLMBASE/2024,0,2024,1,Italiano,SMDEF00001,"Rotman Trading Lab",Primo Semestre,"Emilio Barone","Economia e finanza"
/cattedreonline/corso/SMDEF00001/0/19MLMBASE/2024,0,2024,1,Italiano,SMDEF00001,"Rotman Trading Lab",Primo Semestre,"Emilio Barone","Management"
/cattedreonline/corso/SMDEF00001/0/LMSMIBASE/2024,0,2024,1,Italiano,SMDEF00001,"Rotman Trading Lab",Primo Semestre,"Emilio Barone","Strategic management, innovation and sustainability"
/cattedreonline/corso/SMDEF00001/0/LM19GMBASE/2024,0,2024,1,Italiano,SMDEF00001,"Rotman Trading Lab",Primo Semestre,"Emilio Barone","Global management and politics"
/cattedreonline/corso/M543/0/LM19GMBASE/2024,0,2024,2,Inglese,M543,"Russia And The International Order: History And Challenges",Primo Semestre,"Carolina De Stefano / Allen Charles Lynch","Global management and politics"
/cattedreonline/corso/M543/0/LM20IRBASE/2024,0,2024,2,Inglese,M543,"Russia And The International Order: History And Challenges",Primo Semestre,"Carolina De Stefano / Allen Charles Lynch","International relations"
/cattedreonline/corso/SAV/0/LM20IRBASE/2024,0,2024,1,Italiano,SAV,"Russo",Secondo Semestre,"Marine Miskaryan","International relations"
/cattedreonline/corso/M410/0/LM19ABASE/2024,0,2024,1,Italiano,M410,"Scenari Macroeconomici Internazionali",Primo Semestre,"Mauro Visaggio","Amministrazione, finanza e controllo"
/cattedreonline/corso/ET19/0/1EEL2BASE/2024,0,2024,3,Italiano,ET19,"Scienza Delle Finanze",II Semestre,"Mauro Milillo","Economia e management"
/cattedreonline/corso/061/A/L22PSBASE/2024,A,2024,2,Italiano,061,"Scienza Politica",II Semestre,"Andrea Capati / Mirko Crulli","Scienze politiche"
/cattedreonline/corso/061/A/3GSLMDA/2024,A,2024,5,Italiano,061,"Scienza Politica",II Semestre,"Andrea Capati / Mirko Crulli","Giurisprudenza"
/cattedreonline/corso/061/B/L22PSBASE/2024,B,2024,2,Italiano,061,"Scienza Politica",II Semestre,"Vincenzo Emanuele","Scienze politiche"
/cattedreonline/corso/061/B/3GSLMDA/2024,B,2024,5,Italiano,061,"Scienza Politica",II Semestre,"Vincenzo Emanuele","Giurisprudenza"
/cattedreonline/corso/M358/0/LM20IRS/2024,0,2024,2,Inglese,M358,"Security Law And Constitutional Protection",Primo Semestre,"Raffaele Bifulco / Elena Griglio","International relations"
/cattedreonline/corso/M357/0/LM20IRS/2024,0,2024,2,Inglese,M357,"Security Policies",Primo Semestre,"Carlo Magrassi","International relations"
/cattedreonline/corso/T062/0/1EEL2BASE/2024,0,2024,3,Inglese,T062,"Services Marketing",II Semestre,"Rumen Ivaylov Pozharliev","Economia e management"
/cattedreonline/corso/T062/0/L21BABASE/2024,0,2024,3,Inglese,T062,"Services Marketing",Secondo Semestre,"Rumen Ivaylov Pozharliev","Business administration"
/cattedreonline/corso/SKD/0/LMGAPBASE/2024,0,2024,1,Italiano,SKD,"Sistema Politico Italiano",Primo Semestre,"Roberto D'alimonte","Governo, amministrazione e politica"
/cattedreonline/corso/M360/0/LM20IRM/2024,0,2024,2,Inglese,M360,"Social And Economic Development Of The Mediterranean Countries",Primo Semestre,"Mohammed Hashas","International relations"
