link,faculty
/cattedreonline/corso/EM72/0/LM19KBASE/2024,"Marketing"
/cattedreonline/corso/M364/0/LMGAPBASE/2024,"Governo, amministrazione e politica"
/cattedreonline/corso/M354/A/LM20IRBASE/2024,"International relations"
/cattedreonline/corso/M354/B/LM20IRBASE/2024,"International relations"
/cattedreonline/corso/M374/0/LMPAGEBASE/2024,"Policies and governance in europe"
/cattedreonline/corso/EFI10/0/LMEFIAE/2024,"Economia e finanza"
/cattedreonline/corso/EFI10/0/LM19WBASE/2024,"Corporate finance"
/cattedreonline/corso/LABEM01/0/1EEL2BASE/2024,"Economia e management"
/cattedreonline/corso/AIM01/0/LAIMBASE/2024,"Management and artificial intelligence"
/cattedreonline/corso/DSM03/0/LMDSMBASE/2024,"Data science and management"
/cattedreonline/corso/ET10/0/1EEL2BASE/2024,"Economia e management"
/cattedreonline/corso/EM17/0/LM19WBASE/2024,"Corporate finance"
/cattedreonline/corso/MRK06/0/LM19KBASE/2024,"Marketing"
/cattedreonline/corso/MRK16/A/LM19KBASE/2024,"Marketing"
/cattedreonline/corso/MRK16/B/LM19KBASE/2024,"Marketing"
/cattedreonline/corso/ET02/0/L21BABASE/2024,"Business administration"
/cattedreonline/corso/ET02/0/1EEL2BASE/2024,"Economia e management"
/cattedreonline/corso/ET43/0/L21BABASE/2024,"Business administration"
/cattedreonline/corso/M404/0/3GSLMDP/2024,"Giurisprudenza"
/cattedreonline/corso/M230/0/LM20IRBASE/2024,"International relations"
/cattedreonline/corso/M230/0/LM19GMBASE/2024,"Global management and politics"
/cattedreonline/corso/M546/0/L21BABASE/2024,"Business administration"
/cattedreonline/corso/M546/0/3GSLMBASE/2024,"Giurisprudenza"
/cattedreonline/corso/M090/0/LMGAPGA/2024,"Governo, amministrazione e politica"
/cattedreonline/corso/286/A/3GSLMBASE/2024,"Giurisprudenza"
/cattedreonline/corso/286/B/3GSLMBASE/2024,"Giurisprudenza"
/cattedreonline/corso/286/C/3GSLMBASE/2024,"Giurisprudenza"
/cattedreonline/corso/286/D/3GSLMBASE/2024,"Giurisprudenza"
/cattedreonline/corso/936/A/3GSLMBASE/2024,"Giurisprudenza"
/cattedreonline/corso/936/B/3GSLMBASE/2024,"Giurisprudenza"
/cattedreonline/corso/936/C/3GSLMBASE/2024,"Giurisprudenza"
/cattedreonline/corso/936/D/3GSLMBASE/2024,"Giurisprudenza"
/cattedreonline/corso/M024/0/3GSLMDC/2024,"Giurisprudenza"
/cattedreonline/corso/M338/0/3GSLMDC/2024,"Giurisprudenza"
/cattedreonline/corso/M402/0/3GSLMDV/2024,"Giurisprudenza"
/cattedreonline/corso/005/A/1EEL2BASE/2024,"Economia e management"
/cattedreonline/corso/005/B/1EEL2BASE/2024,"Economia e management"
/cattedreonline/corso/005/C/1EEL2BASE/2024,"Economia e management"
/cattedreonline/corso/005/D/1EEL2BASE/2024,"Economia e management"
/cattedreonline/corso/005/E/1EEL2BASE/2024,"Economia e management"
/cattedreonline/corso/005/F/1EEL2BASE/2024,"Economia e management"
/cattedreonline/corso/691/A/3GSLMBASE/2024,"Giurisprudenza"
/cattedreonline/corso/691/B/3GSLMBASE/2024,"Giurisprudenza"
/cattedreonline/corso/691/C/3GSLMBASE/2024,"Giurisprudenza"
/cattedreonline/corso/691/D/3GSLMBASE/2024,"Giurisprudenza"
/cattedreonline/corso/927/A/3GSLMBASE/2024,"Giurisprudenza"
/cattedreonline/corso/927/B/3GSLMBASE/2024,"Giurisprudenza"
/cattedreonline/corso/927/C/3GSLMBASE/2024,"Giurisprudenza"
/cattedreonline/corso/927/D/3GSLMBASE/2024,"Giurisprudenza"
/cattedreonline/corso/M031/0/3GSLMDN/2024,"Giurisprudenza"
/cattedreonline/corso/246/A/3GSLMBASE/2024,"Giurisprudenza"
/cattedreonline/corso/246/B/3GSLMBASE/2024,"Giurisprudenza"
/cattedreonline/corso/246/C/3GSLMBASE/2024,"Giurisprudenza"
/cattedreonline/corso/246/D/3GSLMBASE/2024,"Giurisprudenza"
/cattedreonline/corso/924/A/3GSLMBASE/2024,"Giurisprudenza"
/cattedreonline/corso/924/B/3GSLMBASE/2024,"Giurisprudenza"
/cattedreonline/corso/924/C/3GSLMBASE/2024,"Giurisprudenza"
/cattedreonline/corso/924/D/3GSLMBASE/2024,"Giurisprudenza"
/cattedreonline/corso/924/E/3GSLMBASE/2024,"Giurisprudenza"
/cattedreonline/corso/S73/0/3GSLMDC/2024,"Giurisprudenza"
/cattedreonline/corso/M255/0/19FLM1B/2024,"Economia e finanza"
/cattedreonline/corso/AD6/0/3GSLMDS/2024,"Giurisprudenza"
/cattedreonline/corso/M026/0/3GSLMDS/2024,"Giurisprudenza"
/cattedreonline/corso/692/A/3GSLMBASE/2024,"Giurisprudenza"
/cattedreonline/corso/692/B/3GSLMBASE/2024,"Giurisprudenza"
/cattedreonline/corso/692/C/3GSLMBASE/2024,"Giurisprudenza"
/cattedreonline/corso/692/D/3GSLMBASE/2024,"Giurisprudenza"
/cattedreonline/corso/M340/0/3GSLMDA/2024,"Giurisprudenza"
/cattedreonline/corso/M405/0/3GSLMDA/2024,"Giurisprudenza"
/cattedreonline/corso/745/A/L22PSBASE/2024,"Scienze politiche"
/cattedreonline/corso/745/B/L22PSBASE/2024,"Scienze politiche"
/cattedreonline/corso/947/0/3GSLMDC/2024,"Giurisprudenza"
/cattedreonline/corso/M095/0/LMGAPPC/2024,"Governo, amministrazione e politica"
/cattedreonline/corso/AN9/A/L22PSBASE/2024,"Scienze politiche"
/cattedreonline/corso/696/A/3GSLMBASE/2024,"Giurisprudenza"
/cattedreonline/corso/AN9/B/L22PSBASE/2024,"Scienze politiche"
/cattedreonline/corso/696/B/3GSLMBASE/2024,"Giurisprudenza"
/cattedreonline/corso/696/C/3GSLMBASE/2024,"Giurisprudenza"
/cattedreonline/corso/696/D/3GSLMBASE/2024,"Giurisprudenza"
/cattedreonline/corso/696/E/3GSLMBASE/2024,"Giurisprudenza"
/cattedreonline/corso/SU2/0/3GSLMDN/2024,"Giurisprudenza"
/cattedreonline/corso/M342/0/3GSLMDV/2024,"Giurisprudenza"
/cattedreonline/corso/827/0/3GSLMDV/2024,"Giurisprudenza"
/cattedreonline/corso/M401/0/3GSLMDA/2024,"Giurisprudenza"
/cattedreonline/corso/M401/0/LMGAPBASE/2024,"Governo, amministrazione e politica"
/cattedreonline/corso/M347/0/3GSLMDS/2024,"Giurisprudenza"
/cattedreonline/corso/A21/0/LM19AAE/2024,"Amministrazione, finanza e controllo"
/cattedreonline/corso/881/0/3GSLMDS/2024,"Giurisprudenza"
/cattedreonline/corso/627/0/L22PSBASE/2024,"Scienze politiche"
/cattedreonline/corso/627/0/3GSLMDA/2024,"Giurisprudenza"
/cattedreonline/corso/627/0/1EEL2BASE/2024,"Economia e management"
/cattedreonline/corso/627/0/L21BBBASE/2024,"Economics and business"
/cattedreonline/corso/627/0/L22PPEBASE/2024,"Politics: philosophy and economics"
/cattedreonline/corso/490/0/3GSLMDC/2024,"Giurisprudenza"
/cattedreonline/corso/T024/0/1EEL2BASE/2024,"Economia e management"
/cattedreonline/corso/T024/0/L22PSBASE/2024,"Scienze politiche"
/cattedreonline/corso/LABVGP5/A/3GSLMBASE/2024,"Giurisprudenza"
/cattedreonline/corso/LABVGP5/B/3GSLMBASE/2024,"Giurisprudenza"
/cattedreonline/corso/LABVGP5/C/3GSLMBASE/2024,"Giurisprudenza"
/cattedreonline/corso/LABVGP5/D/3GSLMBASE/2024,"Giurisprudenza"
/cattedreonline/corso/M319/0/3GSLMDV/2024,"Giurisprudenza"
/cattedreonline/corso/889/0/3GSLMDP/2024,"Giurisprudenza"
/cattedreonline/corso/A39/0/3GSLMDA/2024,"Giurisprudenza"
/cattedreonline/corso/A39/0/LMGAPGA/2024,"Governo, amministrazione e politica"
/cattedreonline/corso/AJ1/0/3GSLMDA/2024,"Giurisprudenza"
/cattedreonline/corso/M403/0/3GSLMDS/2024,"Giurisprudenza"
/cattedreonline/corso/ET29/0/3GSLMDL/2024,"Giurisprudenza"
/cattedreonline/corso/M550/0/3GSLMBASE/2024,"Giurisprudenza"
/cattedreonline/corso/694/A/3GSLMBASE/2024,"Giurisprudenza"
/cattedreonline/corso/013/A/L22PSBASE/2024,"Scienze politiche"
/cattedreonline/corso/694/B/3GSLMBASE/2024,"Giurisprudenza"
/cattedreonline/corso/013/B/L22PSBASE/2024,"Scienze politiche"
/cattedreonline/corso/694/C/3GSLMBASE/2024,"Giurisprudenza"
/cattedreonline/corso/694/D/3GSLMBASE/2024,"Giurisprudenza"
/cattedreonline/corso/694/E/3GSLMBASE/2024,"Giurisprudenza"
/cattedreonline/corso/894/0/3GSLMDZ/2024,"Giurisprudenza"
/cattedreonline/corso/693/A/3GSLMBASE/2024,"Giurisprudenza"
/cattedreonline/corso/693/B/3GSLMBASE/2024,"Giurisprudenza"
/cattedreonline/corso/693/C/3GSLMBASE/2024,"Giurisprudenza"
/cattedreonline/corso/693/D/3GSLMBASE/2024,"Giurisprudenza"
/cattedreonline/corso/933/A/3GSLMBASE/2024,"Giurisprudenza"
/cattedreonline/corso/933/B/3GSLMBASE/2024,"Giurisprudenza"
/cattedreonline/corso/933/C/3GSLMBASE/2024,"Giurisprudenza"
/cattedreonline/corso/933/D/3GSLMBASE/2024,"Giurisprudenza"
/cattedreonline/corso/S89/0/3GSLMDP/2024,"Giurisprudenza"
/cattedreonline/corso/A24/0/3GSLMDP/2024,"Giurisprudenza"
/cattedreonline/corso/M339/0/3GSLMDP/2024,"Giurisprudenza"
/cattedreonline/corso/674/A/1EEL2BASE/2024,"Economia e management"
/cattedreonline/corso/674/B/1EEL2BASE/2024,"Economia e management"
/cattedreonline/corso/674/C/1EEL2BASE/2024,"Economia e management"
/cattedreonline/corso/674/D/1EEL2BASE/2024,"Economia e management"
/cattedreonline/corso/674/E/1EEL2BASE/2024,"Economia e management"
/cattedreonline/corso/674/F/1EEL2BASE/2024,"Economia e management"
/cattedreonline/corso/253/A/3GSLMBASE/2024,"Giurisprudenza"
/cattedreonline/corso/253/B/3GSLMBASE/2024,"Giurisprudenza"
/cattedreonline/corso/253/C/3GSLMBASE/2024,"Giurisprudenza"
/cattedreonline/corso/253/D/3GSLMBASE/2024,"Giurisprudenza"
/cattedreonline/corso/804/A/3GSLMBASE/2024,"Giurisprudenza"
/cattedreonline/corso/804/B/3GSLMBASE/2024,"Giurisprudenza"
/cattedreonline/corso/804/C/3GSLMBASE/2024,"Giurisprudenza"
/cattedreonline/corso/804/D/3GSLMBASE/2024,"Giurisprudenza"
/cattedreonline/corso/340/A/3GSLMBASE/2024,"Giurisprudenza"
/cattedreonline/corso/340/B/3GSLMBASE/2024,"Giurisprudenza"
/cattedreonline/corso/340/C/3GSLMBASE/2024,"Giurisprudenza"
/cattedreonline/corso/340/D/3GSLMBASE/2024,"Giurisprudenza"
/cattedreonline/corso/340/E/3GSLMBASE/2024,"Giurisprudenza"
/cattedreonline/corso/M341/0/3GSLMDA/2024,"Giurisprudenza"
